Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
5.90 ARARAS,1103004,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-21 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
5.94 IRACEMÁPOLIS,1102996,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-16 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
5.94 IRACEMÁPOLIS,1102997,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-16 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
6.61 SERTÃOZINHO,1103755,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-20 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
7.01 BAURU,1112809,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-07-01 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
7.01 BAURU,1112810,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-07-01 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
7.01 BAURU,1112811,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-09-01 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
7.90 JAÚ,1307557,MESA DE PEBOLIM OFICIAL,15,"R$ 1744,00","R$ 1540,53",BONECO P/MESA DE PEBOLIM,54.1%,2024-10-11 00:00:00,AVALIAR: Similaridade moderada (54.1%) com consumível 'BONECO P/MESA DE PEBOLIM...'. Possível reclassificação.
7.90 JAÚ,1307563,MESA DE TÊNIS DE MESA,15,"R$ 2375,00","R$ 2097,92",BOLA DE TÊNIS DE MESA,72.4%,2024-10-11 00:00:00,MANTER: Alta similaridade (72.4%) com consumível 'BOLA DE TÊNIS DE MESA...'. Forte indicação de má classificação.
7.90 JAÚ,1307564,MESA DE TÊNIS DE MESA,15,"R$ 2375,00","R$ 2097,92",BOLA DE TÊNIS DE MESA,72.4%,2024-10-11 00:00:00,MANTER: Alta similaridade (72.4%) com consumível 'BOLA DE TÊNIS DE MESA...'. Forte indicação de má classificação.
7.90 JAÚ,1103760,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-16 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
8.50 VOTUPORANGA,1103845,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-19 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
8.50 VOTUPORANGA,1103846,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-19 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
9.90 BIRIGUI,1104087,MESA P/TÊNIS C/ESTRUTURA DE MADEIRA/EDUCARE,15,"R$ 371,71","R$ 0,00",BOLAS P/TÊNIS DE MESA - 6 UN,39.0%,2014-05-20 00:00:00,MANTER: Baixa similaridade (39.0%) com consumível 'BOLAS P/TÊNIS DE MESA - 6 UN...'. Provavelmente corretamente classificado.
