Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
6.02 RIBEIRÃO PRETO,1180953,ESCADA EM FIBRA 7D - DUPLO ACESSO/ W BERTOLO,15,"R$ 337,88","R$ 39,41",ESCADA DE FIBRA 5D - DUPLO,62.3%,2017-02-20 00:00:00,RECLASSIFICAR: Alta similaridade (62.3%) com consumível 'ESCADA DE FIBRA 5D - DUPLO...'. Forte indicação de má classificação.
6.02 RIBEIRÃO PRETO,863985,ESCADA DUPLA PLATAF.06DEG.PATAMAR.SINTESE,15,"R$ 330,90","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,33.5%,2008-10-22 00:00:00,MANTER: Baixa similaridade (33.5%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,863986,ESCADA DUPLA PLATAF.06DEG.PATAMAR.SINTESE,15,"R$ 330,90","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,33.5%,2008-10-22 00:00:00,MANTER: Baixa similaridade (33.5%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,863987,ESCADA DUPLA PLATAF.06DEG.PATAMAR.SINTESE,15,"R$ 330,90","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,33.5%,2008-10-22 00:00:00,MANTER: Baixa similaridade (33.5%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,863988,ESCADA DUPLA PLATAF.06DEG.PATAMAR.SINTESE,15,"R$ 330,90","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,33.5%,2008-10-22 00:00:00,MANTER: Baixa similaridade (33.5%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,863989,ESCADA DUPLA PLATAF.06DEG.PATAMAR.SINTESE,15,"R$ 330,90","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,33.5%,2008-10-22 00:00:00,MANTER: Baixa similaridade (33.5%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,863990,ESCADA DUPLA PLATAF.06DEG.PATAMAR.SINTESE,15,"R$ 330,90","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,33.5%,2008-10-22 00:00:00,MANTER: Baixa similaridade (33.5%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,863991,ESCADA DUPLA PLATAF.06DEG.PATAMAR.SINTESE,15,"R$ 330,90","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,33.5%,2008-10-22 00:00:00,MANTER: Baixa similaridade (33.5%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,863992,ESCADA DUPLA PLATAF.06DEG.PATAMAR.SINTESE,15,"R$ 330,90","R$ 0,00",ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS,33.5%,2008-10-22 00:00:00,MANTER: Baixa similaridade (33.5%) com consumível 'ESCADA DUPLA DE ALUMÍNIO 7 DEGRAUS...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1174681,CARRINHO MÓVEL C/ 3 MOTORES ELÉTRICOS,30,"R$ 1868,38","R$ 171,25",ACAMADOR P/MOTORES ELÉTRICOS PEQUENOS,41.4%,2016-10-31 00:00:00,AVALIAR: Similaridade moderada (41.4%) com consumível 'ACAMADOR P/MOTORES ELÉTRICOS PEQUENOS...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1174682,CARRINHO MÓVEL C/ 3 MOTORES ELÉTRICOS,30,"R$ 1868,38","R$ 171,25",ACAMADOR P/MOTORES ELÉTRICOS PEQUENOS,41.4%,2016-10-31 00:00:00,AVALIAR: Similaridade moderada (41.4%) com consumível 'ACAMADOR P/MOTORES ELÉTRICOS PEQUENOS...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1174683,CARRINHO MÓVEL C/ 3 MOTORES ELÉTRICOS,30,"R$ 1868,38","R$ 171,25",ACAMADOR P/MOTORES ELÉTRICOS PEQUENOS,41.4%,2016-10-31 00:00:00,AVALIAR: Similaridade moderada (41.4%) com consumível 'ACAMADOR P/MOTORES ELÉTRICOS PEQUENOS...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,1174684,CARRINHO MÓVEL C/ 3 MOTORES ELÉTRICOS,30,"R$ 1868,38","R$ 171,25",ACAMADOR P/MOTORES ELÉTRICOS PEQUENOS,41.4%,2016-10-31 00:00:00,AVALIAR: Similaridade moderada (41.4%) com consumível 'ACAMADOR P/MOTORES ELÉTRICOS PEQUENOS...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,876869,QUADRO  MAGNETICO BRANCO - CORTIARTE,20,"R$ 234,30","R$ 0,00",QUADRO MAGNÉTICO BRANCO 90X60cm,65.4%,2008-12-19 00:00:00,RECLASSIFICAR: Alta similaridade (65.4%) com consumível 'QUADRO MAGNÉTICO BRANCO 90X60cm...'. Forte indicação de má classificação.
6.02 RIBEIRÃO PRETO,888274,CAVALETE P/ TESOURÃO DC-861-  BARROS,25,"R$ 622,25","R$ 0,00",CAVALETE DE VIOLINO 1.2,30.1%,2009-02-13 00:00:00,MANTER: Baixa similaridade (30.1%) com consumível 'CAVALETE DE VIOLINO 1.2...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1217823,CARRINHO PARA TRANSPORTE DCE 0234,30,"R$ 140,95","R$ 45,78",CARRINHO TRANSPORTE BLOCOS,49.4%,2019-03-31 00:00:00,AVALIAR: Similaridade moderada (49.4%) com consumível 'CARRINHO TRANSPORTE BLOCOS...'. Possível reclassificação.
6.02 RIBEIRÃO PRETO,876868,QUADRO  MAGNETICO BRANCO - CORTIARTE,20,"R$ 234,30","R$ 0,00",QUADRO MAGNÉTICO BRANCO 90X60cm,65.4%,2008-12-19 00:00:00,RECLASSIFICAR: Alta similaridade (65.4%) com consumível 'QUADRO MAGNÉTICO BRANCO 90X60cm...'. Forte indicação de má classificação.
6.02 RIBEIRÃO PRETO,1137484,MANEQUIM P/TREINAMENTO DE REANIMAÇÃO/NASCO,7,"R$ 579,90","R$ 0,00",TAQUINHO DE TREINAMENTO G.A,31.4%,2015-02-23 00:00:00,MANTER: Baixa similaridade (31.4%) com consumível 'TAQUINHO DE TREINAMENTO G.A...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1137485,MANEQUIM P/TREINAMENTO DE REANIMAÇÃO/NASCO,7,"R$ 579,90","R$ 0,00",TAQUINHO DE TREINAMENTO G.A,31.4%,2015-02-23 00:00:00,MANTER: Baixa similaridade (31.4%) com consumível 'TAQUINHO DE TREINAMENTO G.A...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1137486,MANEQUIM P/TREINAMENTO DE REANIMAÇÃO/NASCO,7,"R$ 579,90","R$ 0,00",TAQUINHO DE TREINAMENTO G.A,31.4%,2015-02-23 00:00:00,MANTER: Baixa similaridade (31.4%) com consumível 'TAQUINHO DE TREINAMENTO G.A...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1137487,MANEQUIM P/TREINAMENTO DE REANIMAÇÃO/NASCO,7,"R$ 579,90","R$ 0,00",TAQUINHO DE TREINAMENTO G.A,31.4%,2015-02-23 00:00:00,MANTER: Baixa similaridade (31.4%) com consumível 'TAQUINHO DE TREINAMENTO G.A...'. Provavelmente corretamente classificado.
6.02 RIBEIRÃO PRETO,1137488,MANEQUIM P/TREINAMENTO DE REANIMAÇÃO/NASCO,7,"R$ 579,90","R$ 0,00",TAQUINHO DE TREINAMENTO G.A,31.4%,2015-02-23 00:00:00,MANTER: Baixa similaridade (31.4%) com consumível 'TAQUINHO DE TREINAMENTO G.A...'. Provavelmente corretamente classificado.
