Localização,Inventário,Denominação do Imobilizado,Vida,Valor Aquisição,Valor Contábil,Item Consumível Similar,Percentagem de Similaridade (%),Data Incorporação,Justificativa de Reprova
SENAI SEDE,1271517,SMARTPHONE IOS PRÓ,15,"R$ 9640,00","R$ 6989,00",SMARTPHONE (CÓD INATIVO),33.5%,2023-03-14 00:00:00,MANTER: Baixa similaridade (33.5%) com consumível 'SMARTPHONE (CÓD INATIVO)...'. Provavelmente corretamente classificado.
SENAI SEDE,1242692,SMARTPHONE IOS-12 128GB,15,"R$ 6720,00","R$ 3920,00",CARTÃO SD-XC 128GB,36.5%,2021-10-27 00:00:00,MANTER: Baixa similaridade (36.5%) com consumível 'CARTÃO SD-XC 128GB...'. Provavelmente corretamente classificado.
SENAI SEDE,940100,APARELHO FAX C/PAPEL TÉRMICO/PANASONIC,15,"R$ 498,05","R$ 0,00",GARRAFÃO TÉRMICO 3L,27.7%,2010-04-15 00:00:00,MANTER: Similaridade muito baixa (27.7%). Mantém como patrimônio.
SENAI SEDE,1008721,APARELHO TELEFÔNICO DIGITAL/ERICSSON,15,"R$ 769,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,61.2%,2011-11-16 00:00:00,RECLASSIFICAR: Alta similaridade (61.2%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Forte indicação de má classificação.
SENAI SEDE,1039651,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039652,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039653,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039654,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039655,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039656,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
SENAI SEDE,1039657,APARELHO TELEFÔNICO DIGITAL TIPO I / AASTRA,15,"R$ 516,00","R$ 0,00",APARELHO TELEFÔNICO DIGITAL C/VISOR,52.5%,2012-06-01 00:00:00,AVALIAR: Similaridade moderada (52.5%) com consumível 'APARELHO TELEFÔNICO DIGITAL C/VISOR...'. Possível reclassificação.
